station,timestamp,pH,turbidity,temperature,specific_conductance,pH_lag_1,pH_lag_2,pH_lag_3,turbidity_lag_1,turbidity_lag_2,turbidity_lag_3,temperature_lag_1,temperature_lag_2,temperature_lag_3,specific_conductance_lag_1,specific_conductance_lag_2,specific_conductance_lag_3,pH_roll_mean_3,pH_roll_std_3,pH_roll_mean_6,pH_roll_std_6,turbidity_roll_mean_3,turbidity_roll_std_3,turbidity_roll_mean_6,turbidity_roll_std_6,temperature_roll_mean_3,temperature_roll_std_3,temperature_roll_mean_6,temperature_roll_std_6,specific_conductance_roll_mean_3,specific_conductance_roll_std_3,specific_conductance_roll_mean_6,specific_conductance_roll_std_6,pH_change_1,turbidity_change_1,temperature_change_1,specific_conductance_change_1,deterioration_target
USGS-01649190,2024-01-01 00:00:00+00:00,7.6,1.4,7.2,339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
USGS-01649190,2024-01-01 00:05:00+00:00,7.6,1.4,7.2,339,7.6,,,1.4,,,7.2,,,339.0,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
USGS-01649190,2024-01-01 00:10:00+00:00,7.6,1.4,7.2,339,7.6,7.6,,1.4,1.4,,7.2,7.2,,339.0,339.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
USGS-01649190,2024-01-01 00:15:00+00:00,7.6,1.4,7.2,339,7.6,7.6,7.6,1.4,1.4,1.4,7.2,7.2,7.2,339.0,339.0,339.0,7.6,0.0,,,1.4,0.0,,,7.2,0.0,,,339.0,0.0,,,0.0,0.0,0.0,0.0,0.0
USGS-01649190,2024-01-01 00:20:00+00:00,7.6,1.4,7.1,339,7.6,7.6,7.6,1.4,1.4,1.4,7.2,7.2,7.2,339.0,339.0,339.0,7.6,0.0,,,1.4,0.0,,,7.2,0.0,,,339.0,0.0,,,0.0,0.0,-0.10000000000000053,0.0,0.0
USGS-01649190,2024-01-01 00:25:00+00:00,7.6,1.4,7.1,339,7.6,7.6,7.6,1.4,1.4,1.4,7.1,7.2,7.2,339.0,339.0,339.0,7.6,0.0,,,1.4,0.0,,,7.166666666666667,0.05773502691896301,,,339.0,0.0,,,0.0,0.0,0.0,0.0,0.0
USGS-01649190,2024-01-01 00:30:00+00:00,7.6,1.4,7.1,339,7.6,7.6,7.6,1.4,1.4,1.4,7.1,7.1,7.2,339.0,339.0,339.0,7.6,0.0,7.6,0.0,1.4,0.0,1.4,0.0,7.133333333333333,0.05773502691896333,7.166666666666667,0.051639777949432294,339.0,0.0,339.0,0.0,0.0,0.0,0.0,0.0,0.0
USGS-01649190,2024-01-01 00:35:00+00:00,7.6,1.4,7.1,339,7.6,7.6,7.6,1.4,1.4,1.4,7.1,7.1,7.1,339.0,339.0,339.0,7.6,0.0,7.6,0.0,1.4,0.0,1.4,0.0,7.1,0.0,7.1499999999999995,0.054772255750516516,339.0,0.0,339.0,0.0,0.0,0.0,0.0,0.0,0.0
USGS-01649190,2024-01-01 00:40:00+00:00,7.6,1.3,7.1,339,7.6,7.6,7.6,1.4,1.4,1.4,7.1,7.1,7.1,339.0,339.0,339.0,7.6,0.0,7.6,0.0,1.4,0.0,1.4,0.0,7.1,0.0,7.133333333333333,0.05163977794943198,339.0,0.0,339.0,0.0,0.0,-0.09999999999999987,0.0,0.0,0.0
USGS-01649190,2024-01-01 00:45:00+00:00,7.6,1.3,7.1,339,7.6,7.6,7.6,1.3,1.4,1.4,7.1,7.1,7.1,339.0,339.0,339.0,7.6,0.0,7.6,0.0,1.3666666666666665,0.05773502691896253,1.383333333333333,0.040824829046386256,7.1,0.0,7.116666666666666,0.040824829046385694,339.0,0.0,339.0,0.0,0.0,0.0,0.0,0.0,0.0
